PO_Number,PO_Date,By_Day,By_Month,By_Year,Vendor,Buyer_Department,Purchase_Description,PO_Amount  ,PO_Range
PO-200071,7/8/2024,7,Aug,2024,Vendor_10,Travel,Corporate travel package,"3,771.11",2k-5k
PO-200099,7/8/2024,7,Aug,2024,Vendor_2,Entertainment,Client entertainment event,"114,700.75",>101k
PO-200138,7/8/2024,7,Aug,2024,Vendor_5,Marketing,Digital advertising campaign,"15,510.91",6k-20k
PO-200523,8/8/2024,8,Aug,2024,Vendor_3,Travel,Business travel expenses,"24,936.12",21k-50k
PO-200999,8/8/2024,8,Aug,2024,Vendor_11,Entertainment,Team engagement event,"4,315.48",2k-5k
PO-200068,13/8/2024,13,Aug,2024,Vendor_6,Marketing,Market research services,"8,311.39",6k-20k
PO-200579,14/8/2024,14,Aug,2024,Vendor_6,Marketing,Market research services,"9,804.00",6k-20k
PO-200630,14/8/2024,14,Aug,2024,Vendor_4,Marketing,Market research services,"39,241.58",21k-50k
PO-200569,16/8/2024,16,Aug,2024,Vendor_1,Travel,Business travel expenses,"200,342.15",>101k
PO-200817,17/8/2024,17,Aug,2024,Vendor_6,Marketing,Market research services,"2,416.57",2k-5k
PO-200779,18/8/2024,18,Aug,2024,Vendor_5,Marketing,Social media marketing,"15,991.21",6k-20k
PO-200539,19/8/2024,19,Aug,2024,Vendor_3,Entertainment,Corporate hospitality,"16,729.19",6k-20k
PO-200544,19/8/2024,19,Aug,2024,Vendor_1,Marketing,Digital advertising campaign,"141,372.69",>101k
PO-200058,20/8/2024,20,Aug,2024,Vendor_13,Entertainment,Team engagement event,"3,887.07",2k-5k
PO-200563,22/8/2024,22,Aug,2024,Vendor_2,Travel,Corporate travel package,"147,204.31",>101k
PO-200267,26/8/2024,26,Aug,2024,Vendor_6,Marketing,Market research services,"3,041.09",2k-5k
PO-200530,29/8/2024,29,Aug,2024,Vendor_8,Travel,Flight bookings,"2,121.21",2k-5k
PO-200331,30/8/2024,30,Aug,2024,Vendor_3,Entertainment,Client entertainment event,"44,234.10",21k-50k
PO-200984,1/9/2024,1,Sep,2024,Vendor_7,Travel,Flight bookings,"8,966.27",6k-20k
PO-200046,3/9/2024,3,Sep,2024,Vendor_6,Marketing,Market research services,"7,528.93",6k-20k
PO-200496,4/9/2024,4,Sep,2024,Vendor_5,Marketing,Market research services,"15,901.19",6k-20k
PO-200879,4/9/2024,4,Sep,2024,Vendor_2,Marketing,Digital advertising campaign,"146,255.13",>101k
PO-200940,4/9/2024,4,Sep,2024,Vendor_5,Marketing,Digital advertising campaign,"34,727.32",21k-50k
PO-200811,8/9/2024,8,Sep,2024,Vendor_6,Marketing,Digital advertising campaign,"10,902.15",6k-20k
PO-200846,8/9/2024,8,Sep,2024,Vendor_9,Travel,Flight bookings,"3,969.26",2k-5k
PO-200061,10/9/2024,10,Sep,2024,Vendor_1,Travel,Corporate travel package,"203,768.67",>101k
PO-200629,10/9/2024,10,Sep,2024,Vendor_7,Travel,Hotel accommodation,"2,652.05",2k-5k
PO-200856,11/9/2024,11,Sep,2024,Vendor_1,Marketing,Market research services,"208,191.05",>101k
PO-200075,12/9/2024,12,Sep,2024,Vendor_3,Travel,Corporate travel package,"53,301.15",51k-100k
PO-200957,12/9/2024,12,Sep,2024,Vendor_8,Travel,Flight bookings,"5,010.46",6k-20k
PO-200146,15/9/2024,15,Sep,2024,Vendor_6,Marketing,Digital advertising campaign,"8,969.25",6k-20k
PO-200212,15/9/2024,15,Sep,2024,Vendor_1,Travel,Business travel expenses,"209,122.29",>101k
PO-200599,16/9/2024,16,Sep,2024,Vendor_14,Entertainment,Conference entertainment services,"3,334.80",2k-5k
PO-200502,18/9/2024,18,Sep,2024,Vendor_3,Entertainment,Conference entertainment services,"54,300.15",51k-100k
PO-200055,19/9/2024,19,Sep,2024,Vendor_2,Travel,Hotel accommodation,"171,325.50",>101k
PO-200464,19/9/2024,19,Sep,2024,Vendor_5,Marketing,Digital advertising campaign,"38,511.65",21k-50k
PO-200479,19/9/2024,19,Sep,2024,Vendor_1,Marketing,Brand promotion services,"103,926.44",>101k
PO-200268,20/9/2024,20,Sep,2024,Vendor_7,Travel,Business travel expenses,"8,527.46",6k-20k
PO-200766,20/9/2024,20,Sep,2024,Vendor_11,Entertainment,Team engagement event,"11,978.21",6k-20k
PO-200710,22/9/2024,22,Sep,2024,Vendor_9,Travel,Hotel accommodation,"10,880.39",6k-20k
PO-200866,22/9/2024,22,Sep,2024,Vendor_2,Marketing,Market research services,"76,288.59",51k-100k
PO-200931,22/9/2024,22,Sep,2024,Vendor_1,Travel,Flight bookings,"78,730.57",51k-100k
PO-200833,23/9/2024,23,Sep,2024,Vendor_12,Entertainment,Team engagement event,"7,782.98",6k-20k
PO-200632,24/9/2024,24,Sep,2024,Vendor_1,Marketing,Social media marketing,"91,297.48",51k-100k
PO-200362,26/9/2024,26,Sep,2024,Vendor_1,Travel,Business travel expenses,"196,386.35",>101k
PO-200016,27/9/2024,27,Sep,2024,Vendor_13,Entertainment,Corporate hospitality,"9,272.72",6k-20k
PO-200096,28/9/2024,28,Sep,2024,Vendor_1,Marketing,Market research services,"209,538.24",>101k
PO-200194,29/9/2024,29,Sep,2024,Vendor_4,Marketing,Brand promotion services,"40,378.43",21k-50k
PO-200744,29/9/2024,29,Sep,2024,Vendor_11,Entertainment,Conference entertainment services,"6,017.79",6k-20k
PO-200383,30/9/2024,30,Sep,2024,Vendor_3,Travel,Flight bookings,"15,522.92",6k-20k
PO-200848,30/9/2024,30,Sep,2024,Vendor_7,Travel,Business travel expenses,"6,589.63",6k-20k
PO-200947,1/10/2024,1,Oct,2024,Vendor_4,Marketing,Brand promotion services,"51,229.06",51k-100k
PO-200430,2/10/2024,2,Oct,2024,Vendor_6,Marketing,Brand promotion services,"8,882.08",6k-20k
PO-200679,2/10/2024,2,Oct,2024,Vendor_7,Travel,Flight bookings,"2,636.41",2k-5k
PO-200004,3/10/2024,3,Oct,2024,Vendor_14,Entertainment,Corporate hospitality,"3,818.25",2k-5k
PO-200115,3/10/2024,3,Oct,2024,Vendor_14,Entertainment,Conference entertainment services,"9,350.71",6k-20k
PO-200469,3/10/2024,3,Oct,2024,Vendor_2,Marketing,Social media marketing,"162,077.63",>101k
PO-200964,3/10/2024,3,Oct,2024,Vendor_5,Marketing,Brand promotion services,"39,099.92",21k-50k
PO-200359,4/10/2024,4,Oct,2024,Vendor_8,Travel,Hotel accommodation,"9,536.99",6k-20k
PO-200447,5/10/2024,5,Oct,2024,Vendor_5,Marketing,Brand promotion services,"49,302.83",21k-50k
PO-200495,5/10/2024,5,Oct,2024,Vendor_11,Entertainment,Conference entertainment services,"5,825.26",6k-20k
PO-200716,5/10/2024,5,Oct,2024,Vendor_2,Marketing,Social media marketing,"114,906.78",>101k
PO-200481,6/10/2024,6,Oct,2024,Vendor_10,Travel,Flight bookings,"2,158.21",2k-5k
PO-200666,7/10/2024,7,Oct,2024,Vendor_15,Entertainment,Corporate hospitality,"6,790.70",6k-20k
PO-200985,8/10/2024,8,Oct,2024,Vendor_2,Marketing,Social media marketing,"82,854.71",51k-100k
PO-200441,13/10/2024,13,Oct,2024,Vendor_9,Travel,Flight bookings,"8,006.10",6k-20k
PO-200554,14/10/2024,14,Oct,2024,Vendor_8,Travel,Flight bookings,"11,202.97",6k-20k
PO-200231,15/10/2024,15,Oct,2024,Vendor_4,Marketing,Digital advertising campaign,"50,035.74",51k-100k
PO-200509,15/10/2024,15,Oct,2024,Vendor_14,Entertainment,Corporate hospitality,"3,325.25",2k-5k
PO-200723,16/10/2024,16,Oct,2024,Vendor_9,Travel,Flight bookings,"7,258.13",6k-20k
PO-200787,16/10/2024,16,Oct,2024,Vendor_10,Travel,Hotel accommodation,"6,014.46",6k-20k
PO-200472,19/10/2024,19,Oct,2024,Vendor_13,Entertainment,Conference entertainment services,"7,566.37",6k-20k
PO-200223,21/10/2024,21,Oct,2024,Vendor_8,Travel,Hotel accommodation,"10,165.99",6k-20k
PO-200951,21/10/2024,21,Oct,2024,Vendor_14,Entertainment,Corporate hospitality,"9,997.19",6k-20k
PO-200017,22/10/2024,22,Oct,2024,Vendor_1,Marketing,Market research services,"67,236.37",51k-100k
PO-200944,22/10/2024,22,Oct,2024,Vendor_2,Marketing,Social media marketing,"99,609.56",51k-100k
PO-200633,23/10/2024,23,Oct,2024,Vendor_7,Travel,Corporate travel package,"5,566.71",6k-20k
PO-200455,26/10/2024,26,Oct,2024,Vendor_5,Marketing,Brand promotion services,"38,698.07",21k-50k
PO-200934,27/10/2024,27,Oct,2024,Vendor_9,Travel,Corporate travel package,"8,274.87",6k-20k
PO-200492,29/10/2024,29,Oct,2024,Vendor_15,Entertainment,Client entertainment event,"8,349.60",6k-20k
PO-200803,29/10/2024,29,Oct,2024,Vendor_5,Marketing,Market research services,"34,472.81",21k-50k
PO-200802,30/10/2024,30,Oct,2024,Vendor_15,Entertainment,Client entertainment event,"5,600.50",6k-20k
PO-200946,30/10/2024,30,Oct,2024,Vendor_8,Travel,Corporate travel package,"2,811.49",2k-5k
PO-200986,31/10/2024,31,Oct,2024,Vendor_7,Travel,Flight bookings,"5,918.59",6k-20k
PO-200172,3/11/2024,3,Nov,2024,Vendor_7,Travel,Business travel expenses,"11,041.59",6k-20k
PO-200293,5/11/2024,5,Nov,2024,Vendor_10,Travel,Business travel expenses,"8,104.05",6k-20k
PO-200908,8/11/2024,8,Nov,2024,Vendor_8,Travel,Hotel accommodation,"10,714.14",6k-20k
PO-200397,9/11/2024,9,Nov,2024,Vendor_9,Travel,Corporate travel package,"7,475.92",6k-20k
PO-200653,9/11/2024,9,Nov,2024,Vendor_2,Marketing,Social media marketing,"132,056.16",>101k
PO-200945,9/11/2024,9,Nov,2024,Vendor_4,Marketing,Brand promotion services,"47,973.01",21k-50k
PO-200967,9/11/2024,9,Nov,2024,Vendor_4,Marketing,Brand promotion services,"31,808.41",21k-50k
PO-200200,10/11/2024,10,Nov,2024,Vendor_13,Entertainment,Conference entertainment services,"7,707.78",6k-20k
PO-200503,11/11/2024,11,Nov,2024,Vendor_14,Entertainment,Team engagement event,"7,745.87",6k-20k
PO-200039,13/11/2024,13,Nov,2024,Vendor_3,Entertainment,Conference entertainment services,"39,034.02",21k-50k
PO-200303,13/11/2024,13,Nov,2024,Vendor_9,Travel,Flight bookings,"3,851.33",2k-5k
PO-200320,13/11/2024,13,Nov,2024,Vendor_1,Marketing,Brand promotion services,"74,166.95",51k-100k
PO-200395,13/11/2024,13,Nov,2024,Vendor_3,Entertainment,Conference entertainment services,"57,630.77",51k-100k
PO-200696,13/11/2024,13,Nov,2024,Vendor_6,Marketing,Digital advertising campaign,"7,720.49",6k-20k
PO-200211,15/11/2024,15,Nov,2024,Vendor_7,Travel,Flight bookings,"8,106.20",6k-20k
PO-200857,17/11/2024,17,Nov,2024,Vendor_8,Travel,Corporate travel package,"10,080.79",6k-20k
PO-200920,17/11/2024,17,Nov,2024,Vendor_1,Travel,Flight bookings,"216,336.68",>101k
PO-200760,18/11/2024,18,Nov,2024,Vendor_13,Entertainment,Team engagement event,"5,118.99",6k-20k
PO-200324,19/11/2024,19,Nov,2024,Vendor_6,Marketing,Market research services,"4,872.39",2k-5k
PO-200360,19/11/2024,19,Nov,2024,Vendor_14,Entertainment,Conference entertainment services,"9,708.54",6k-20k
PO-200445,19/11/2024,19,Nov,2024,Vendor_11,Entertainment,Client entertainment event,"4,886.86",2k-5k
PO-200706,19/11/2024,19,Nov,2024,Vendor_1,Marketing,Market research services,"169,854.39",>101k
PO-200791,20/11/2024,20,Nov,2024,Vendor_8,Travel,Corporate travel package,"2,038.20",2k-5k
PO-200456,21/11/2024,21,Nov,2024,Vendor_6,Marketing,Social media marketing,"9,648.83",6k-20k
PO-200616,22/11/2024,22,Nov,2024,Vendor_10,Travel,Business travel expenses,"4,509.67",2k-5k
PO-200669,22/11/2024,22,Nov,2024,Vendor_9,Travel,Corporate travel package,"2,180.07",2k-5k
PO-200342,23/11/2024,23,Nov,2024,Vendor_1,Travel,Corporate travel package,"119,630.16",>101k
PO-200147,25/11/2024,25,Nov,2024,Vendor_13,Entertainment,Client entertainment event,"11,152.54",6k-20k
PO-200302,25/11/2024,25,Nov,2024,Vendor_11,Entertainment,Client entertainment event,"3,368.19",2k-5k
PO-200700,28/11/2024,28,Nov,2024,Vendor_6,Marketing,Social media marketing,"2,448.54",2k-5k
PO-200998,28/11/2024,28,Nov,2024,Vendor_1,Marketing,Digital advertising campaign,"71,856.87",51k-100k
PO-200460,29/11/2024,29,Nov,2024,Vendor_2,Marketing,Brand promotion services,"91,129.33",51k-100k
PO-200674,29/11/2024,29,Nov,2024,Vendor_12,Entertainment,Client entertainment event,"4,972.38",2k-5k
PO-200309,30/11/2024,30,Nov,2024,Vendor_7,Travel,Hotel accommodation,"5,128.55",6k-20k
PO-200410,30/11/2024,30,Nov,2024,Vendor_1,Travel,Corporate travel package,"156,990.19",>101k
PO-200997,30/11/2024,30,Nov,2024,Vendor_5,Marketing,Digital advertising campaign,"48,438.67",21k-50k
PO-200510,1/12/2024,1,Dec,2024,Vendor_14,Entertainment,Corporate hospitality,"3,391.98",2k-5k
PO-200899,2/12/2024,2,Dec,2024,Vendor_4,Marketing,Market research services,"22,079.68",21k-50k
PO-200053,3/12/2024,3,Dec,2024,Vendor_2,Marketing,Market research services,"121,877.66",>101k
PO-200062,3/12/2024,3,Dec,2024,Vendor_1,Travel,Flight bookings,"166,160.28",>101k
PO-200101,6/12/2024,6,Dec,2024,Vendor_6,Marketing,Brand promotion services,"9,633.64",6k-20k
PO-200286,7/12/2024,7,Dec,2024,Vendor_6,Marketing,Market research services,"4,064.21",2k-5k
PO-200790,8/12/2024,8,Dec,2024,Vendor_10,Travel,Hotel accommodation,"9,069.76",6k-20k
PO-200885,8/12/2024,8,Dec,2024,Vendor_10,Travel,Corporate travel package,"9,418.96",6k-20k
PO-200440,10/12/2024,10,Dec,2024,Vendor_13,Entertainment,Conference entertainment services,"9,685.19",6k-20k
PO-200183,11/12/2024,11,Dec,2024,Vendor_1,Marketing,Digital advertising campaign,"133,724.60",>101k
PO-200245,11/12/2024,11,Dec,2024,Vendor_6,Marketing,Brand promotion services,"4,359.06",2k-5k
PO-200036,13/12/2024,13,Dec,2024,Vendor_13,Entertainment,Conference entertainment services,"10,074.40",6k-20k
PO-200165,13/12/2024,13,Dec,2024,Vendor_13,Entertainment,Conference entertainment services,"8,181.28",6k-20k
PO-200686,13/12/2024,13,Dec,2024,Vendor_9,Travel,Corporate travel package,"8,764.26",6k-20k
PO-200219,14/12/2024,14,Dec,2024,Vendor_14,Entertainment,Conference entertainment services,"7,744.73",6k-20k
PO-200265,14/12/2024,14,Dec,2024,Vendor_15,Entertainment,Conference entertainment services,"9,159.72",6k-20k
PO-200713,15/12/2024,15,Dec,2024,Vendor_13,Entertainment,Corporate hospitality,"10,290.18",6k-20k
PO-200547,17/12/2024,17,Dec,2024,Vendor_2,Marketing,Digital advertising campaign,"165,648.44",>101k
PO-200084,19/12/2024,19,Dec,2024,Vendor_1,Marketing,Social media marketing,"64,418.68",51k-100k
PO-200982,19/12/2024,19,Dec,2024,Vendor_9,Travel,Business travel expenses,"9,535.95",6k-20k
PO-200772,20/12/2024,20,Dec,2024,Vendor_9,Travel,Business travel expenses,"2,660.10",2k-5k
PO-200241,21/12/2024,21,Dec,2024,Vendor_10,Travel,Business travel expenses,"11,321.18",6k-20k
PO-200284,21/12/2024,21,Dec,2024,Vendor_12,Entertainment,Conference entertainment services,"3,177.51",2k-5k
PO-200102,22/12/2024,22,Dec,2024,Vendor_6,Marketing,Digital advertising campaign,"6,646.74",6k-20k
PO-200338,22/12/2024,22,Dec,2024,Vendor_10,Travel,Flight bookings,"7,929.40",6k-20k
PO-200715,22/12/2024,22,Dec,2024,Vendor_6,Marketing,Social media marketing,"7,772.00",6k-20k
PO-200322,24/12/2024,24,Dec,2024,Vendor_15,Entertainment,Corporate hospitality,"2,916.99",2k-5k
PO-200549,25/12/2024,25,Dec,2024,Vendor_15,Entertainment,Team engagement event,"9,824.85",6k-20k
PO-200139,26/12/2024,26,Dec,2024,Vendor_7,Travel,Corporate travel package,"3,188.18",2k-5k
PO-200442,26/12/2024,26,Dec,2024,Vendor_9,Travel,Flight bookings,"8,669.72",6k-20k
PO-200500,26/12/2024,26,Dec,2024,Vendor_2,Travel,Hotel accommodation,"114,667.92",>101k
PO-200688,26/12/2024,26,Dec,2024,Vendor_14,Entertainment,Corporate hospitality,"6,728.97",6k-20k
PO-200468,27/12/2024,27,Dec,2024,Vendor_11,Entertainment,Conference entertainment services,"2,434.13",2k-5k
PO-200239,28/12/2024,28,Dec,2024,Vendor_3,Travel,Business travel expenses,"27,956.83",21k-50k
PO-200290,28/12/2024,28,Dec,2024,Vendor_5,Marketing,Brand promotion services,"22,482.75",21k-50k
PO-200067,30/12/2024,30,Dec,2024,Vendor_3,Entertainment,Corporate hospitality,"58,785.47",51k-100k
PO-200927,1/1/2025,1,Jan,2025,Vendor_1,Travel,Business travel expenses,"159,783.80",>101k
PO-200548,2/1/2025,2,Jan,2025,Vendor_1,Travel,Hotel accommodation,"73,218.83",51k-100k
PO-200198,3/1/2025,3,Jan,2025,Vendor_10,Travel,Business travel expenses,"9,454.39",6k-20k
PO-200937,4/1/2025,4,Jan,2025,Vendor_2,Entertainment,Conference entertainment services,"166,399.12",>101k
PO-200311,6/1/2025,6,Jan,2025,Vendor_5,Marketing,Digital advertising campaign,"36,339.64",21k-50k
PO-200647,6/1/2025,6,Jan,2025,Vendor_15,Entertainment,Conference entertainment services,"10,581.77",6k-20k
PO-200040,8/1/2025,8,Jan,2025,Vendor_2,Travel,Hotel accommodation,"114,018.43",>101k
PO-200178,8/1/2025,8,Jan,2025,Vendor_2,Travel,Corporate travel package,"84,304.43",51k-100k
PO-200670,9/1/2025,9,Jan,2025,Vendor_8,Travel,Flight bookings,"5,047.51",6k-20k
PO-200718,9/1/2025,9,Jan,2025,Vendor_12,Entertainment,Conference entertainment services,"8,729.67",6k-20k
PO-200775,9/1/2025,9,Jan,2025,Vendor_13,Entertainment,Corporate hospitality,"2,768.62",2k-5k
PO-200909,9/1/2025,9,Jan,2025,Vendor_11,Entertainment,Team engagement event,"5,128.63",6k-20k
PO-200217,10/1/2025,10,Jan,2025,Vendor_12,Entertainment,Conference entertainment services,"6,085.18",6k-20k
PO-200626,10/1/2025,10,Jan,2025,Vendor_10,Travel,Corporate travel package,"7,193.86",6k-20k
PO-200037,11/1/2025,11,Jan,2025,Vendor_4,Marketing,Brand promotion services,"19,952.34",6k-20k
PO-200648,11/1/2025,11,Jan,2025,Vendor_14,Entertainment,Corporate hospitality,"9,102.43",6k-20k
PO-200711,11/1/2025,11,Jan,2025,Vendor_6,Marketing,Social media marketing,"11,132.87",6k-20k
PO-200378,12/1/2025,12,Jan,2025,Vendor_11,Entertainment,Conference entertainment services,"2,325.26",2k-5k
PO-200221,13/1/2025,13,Jan,2025,Vendor_12,Entertainment,Client entertainment event,"10,145.75",6k-20k
PO-200739,13/1/2025,13,Jan,2025,Vendor_7,Travel,Hotel accommodation,"3,683.37",2k-5k
PO-200019,14/1/2025,14,Jan,2025,Vendor_8,Travel,Flight bookings,"4,809.35",2k-5k
PO-200518,16/1/2025,16,Jan,2025,Vendor_11,Entertainment,Corporate hospitality,"4,117.55",2k-5k
PO-200979,16/1/2025,16,Jan,2025,Vendor_1,Travel,Business travel expenses,"97,472.54",51k-100k
PO-200625,17/1/2025,17,Jan,2025,Vendor_2,Travel,Flight bookings,"86,353.02",51k-100k
PO-200741,17/1/2025,17,Jan,2025,Vendor_9,Travel,Hotel accommodation,"2,576.48",2k-5k
PO-200614,18/1/2025,18,Jan,2025,Vendor_2,Marketing,Social media marketing,"109,391.80",>101k
PO-200771,18/1/2025,18,Jan,2025,Vendor_1,Marketing,Brand promotion services,"72,423.89",51k-100k
PO-200250,20/1/2025,20,Jan,2025,Vendor_5,Marketing,Brand promotion services,"56,393.50",51k-100k
PO-200042,21/1/2025,21,Jan,2025,Vendor_3,Entertainment,Corporate hospitality,"46,333.69",21k-50k
PO-200377,21/1/2025,21,Jan,2025,Vendor_6,Marketing,Brand promotion services,"9,610.24",6k-20k
PO-200636,21/1/2025,21,Jan,2025,Vendor_7,Travel,Hotel accommodation,"5,167.62",6k-20k
PO-200966,23/1/2025,23,Jan,2025,Vendor_12,Entertainment,Corporate hospitality,"11,137.88",6k-20k
PO-200905,24/1/2025,24,Jan,2025,Vendor_1,Marketing,Digital advertising campaign,"174,952.63",>101k
PO-200341,29/1/2025,29,Jan,2025,Vendor_11,Entertainment,Conference entertainment services,"11,315.89",6k-20k
PO-200420,29/1/2025,29,Jan,2025,Vendor_2,Marketing,Social media marketing,"132,606.33",>101k
PO-200532,29/1/2025,29,Jan,2025,Vendor_1,Marketing,Social media marketing,"102,536.18",>101k
PO-200749,29/1/2025,29,Jan,2025,Vendor_6,Marketing,Brand promotion services,"3,306.52",2k-5k
PO-200125,30/1/2025,30,Jan,2025,Vendor_8,Travel,Flight bookings,"2,917.04",2k-5k
PO-200275,30/1/2025,30,Jan,2025,Vendor_3,Entertainment,Team engagement event,"41,563.27",21k-50k
PO-200110,31/1/2025,31,Jan,2025,Vendor_9,Travel,Business travel expenses,"3,957.91",2k-5k
PO-200671,1/2/2025,1,Feb,2025,Vendor_7,Travel,Business travel expenses,"10,727.54",6k-20k
PO-200814,1/2/2025,1,Feb,2025,Vendor_1,Marketing,Brand promotion services,"113,975.29",>101k
PO-200083,3/2/2025,3,Feb,2025,Vendor_11,Entertainment,Client entertainment event,"2,709.41",2k-5k
PO-200605,3/2/2025,3,Feb,2025,Vendor_3,Entertainment,Conference entertainment services,"58,867.56",51k-100k
PO-200047,4/2/2025,4,Feb,2025,Vendor_9,Travel,Business travel expenses,"5,696.54",6k-20k
PO-200168,4/2/2025,4,Feb,2025,Vendor_15,Entertainment,Corporate hospitality,"10,766.54",6k-20k
PO-200051,6/2/2025,6,Feb,2025,Vendor_1,Travel,Corporate travel package,"168,410.30",>101k
PO-200181,6/2/2025,6,Feb,2025,Vendor_15,Entertainment,Client entertainment event,"3,922.89",2k-5k
PO-200917,6/2/2025,6,Feb,2025,Vendor_10,Travel,Business travel expenses,"3,989.92",2k-5k
PO-200059,7/2/2025,7,Feb,2025,Vendor_4,Marketing,Market research services,"53,099.75",51k-100k
PO-200580,8/2/2025,8,Feb,2025,Vendor_2,Entertainment,Client entertainment event,"60,300.78",51k-100k
PO-200294,9/2/2025,9,Feb,2025,Vendor_6,Marketing,Social media marketing,"11,540.87",6k-20k
PO-200586,9/2/2025,9,Feb,2025,Vendor_4,Marketing,Social media marketing,"18,467.62",6k-20k
PO-200684,9/2/2025,9,Feb,2025,Vendor_8,Travel,Hotel accommodation,"3,648.25",2k-5k
PO-200663,10/2/2025,10,Feb,2025,Vendor_3,Travel,Hotel accommodation,"45,182.95",21k-50k
PO-200896,10/2/2025,10,Feb,2025,Vendor_2,Travel,Business travel expenses,"188,562.90",>101k
PO-200081,11/2/2025,11,Feb,2025,Vendor_3,Travel,Hotel accommodation,"51,455.10",51k-100k
PO-200148,11/2/2025,11,Feb,2025,Vendor_14,Entertainment,Conference entertainment services,"5,945.22",6k-20k
PO-200543,11/2/2025,11,Feb,2025,Vendor_1,Marketing,Digital advertising campaign,"71,533.49",51k-100k
PO-200603,11/2/2025,11,Feb,2025,Vendor_9,Travel,Corporate travel package,"2,134.03",2k-5k
PO-200785,11/2/2025,11,Feb,2025,Vendor_6,Marketing,Brand promotion services,"10,225.35",6k-20k
PO-200358,15/2/2025,15,Feb,2025,Vendor_10,Travel,Hotel accommodation,"6,322.41",6k-20k
PO-200827,15/2/2025,15,Feb,2025,Vendor_1,Marketing,Digital advertising campaign,"99,456.58",51k-100k
PO-200834,15/2/2025,15,Feb,2025,Vendor_15,Entertainment,Conference entertainment services,"8,359.55",6k-20k
PO-200568,16/2/2025,16,Feb,2025,Vendor_8,Travel,Hotel accommodation,"7,650.22",6k-20k
PO-200933,17/2/2025,17,Feb,2025,Vendor_1,Travel,Hotel accommodation,"160,032.76",>101k
PO-200975,17/2/2025,17,Feb,2025,Vendor_7,Travel,Hotel accommodation,"7,413.70",6k-20k
PO-200394,19/2/2025,19,Feb,2025,Vendor_1,Travel,Flight bookings,"68,315.41",51k-100k
PO-200740,19/2/2025,19,Feb,2025,Vendor_12,Entertainment,Team engagement event,"5,023.33",6k-20k
PO-200989,19/2/2025,19,Feb,2025,Vendor_5,Marketing,Digital advertising campaign,"43,279.19",21k-50k
PO-200109,20/2/2025,20,Feb,2025,Vendor_11,Entertainment,Conference entertainment services,"5,861.03",6k-20k
PO-200897,21/2/2025,21,Feb,2025,Vendor_2,Marketing,Brand promotion services,"115,136.65",>101k
PO-200022,22/2/2025,22,Feb,2025,Vendor_11,Entertainment,Client entertainment event,"9,113.42",6k-20k
PO-200714,22/2/2025,22,Feb,2025,Vendor_2,Marketing,Digital advertising campaign,"127,525.48",>101k
PO-200902,22/2/2025,22,Feb,2025,Vendor_2,Entertainment,Client entertainment event,"64,030.95",51k-100k
PO-200409,23/2/2025,23,Feb,2025,Vendor_7,Travel,Business travel expenses,"7,786.75",6k-20k
PO-200954,23/2/2025,23,Feb,2025,Vendor_3,Entertainment,Corporate hospitality,"34,242.06",21k-50k
PO-200820,24/2/2025,24,Feb,2025,Vendor_1,Marketing,Brand promotion services,"118,837.38",>101k
PO-200855,24/2/2025,24,Feb,2025,Vendor_10,Travel,Hotel accommodation,"8,030.64",6k-20k
PO-200224,25/2/2025,25,Feb,2025,Vendor_10,Travel,Corporate travel package,"6,626.80",6k-20k
PO-200529,26/2/2025,26,Feb,2025,Vendor_3,Entertainment,Team engagement event,"21,169.94",21k-50k
PO-200618,26/2/2025,26,Feb,2025,Vendor_3,Entertainment,Corporate hospitality,"39,414.56",21k-50k
PO-200682,27/2/2025,27,Feb,2025,Vendor_7,Travel,Flight bookings,"8,944.50",6k-20k
PO-200692,27/2/2025,27,Feb,2025,Vendor_6,Marketing,Digital advertising campaign,"6,820.41",6k-20k
PO-200969,28/2/2025,28,Feb,2025,Vendor_1,Marketing,Social media marketing,"115,822.41",>101k
PO-200352,1/3/2025,1,Mar,2025,Vendor_13,Entertainment,Team engagement event,"10,790.71",6k-20k
PO-200668,1/3/2025,1,Mar,2025,Vendor_2,Marketing,Social media marketing,"215,644.21",>101k
PO-200438,2/3/2025,2,Mar,2025,Vendor_9,Travel,Business travel expenses,"11,786.31",6k-20k
PO-200726,2/3/2025,2,Mar,2025,Vendor_7,Travel,Hotel accommodation,"8,369.02",6k-20k
PO-200853,2/3/2025,2,Mar,2025,Vendor_10,Travel,Corporate travel package,"4,473.40",2k-5k
PO-200433,3/3/2025,3,Mar,2025,Vendor_6,Marketing,Social media marketing,"7,217.30",6k-20k
PO-200843,3/3/2025,3,Mar,2025,Vendor_7,Travel,Hotel accommodation,"6,455.42",6k-20k
PO-200259,4/3/2025,4,Mar,2025,Vendor_4,Marketing,Brand promotion services,"23,580.95",21k-50k
PO-200705,6/3/2025,6,Mar,2025,Vendor_8,Travel,Business travel expenses,"9,175.72",6k-20k
PO-200677,7/3/2025,7,Mar,2025,Vendor_2,Travel,Corporate travel package,"98,321.63",51k-100k
PO-200300,10/3/2025,10,Mar,2025,Vendor_1,Travel,Flight bookings,"60,374.30",51k-100k
PO-200995,10/3/2025,10,Mar,2025,Vendor_1,Travel,Flight bookings,"188,566.03",>101k
PO-200248,11/3/2025,11,Mar,2025,Vendor_5,Marketing,Digital advertising campaign,"30,083.88",21k-50k
PO-200545,11/3/2025,11,Mar,2025,Vendor_4,Marketing,Brand promotion services,"59,621.48",51k-100k
